立,48,1,36,8,0,4,0,83,2,0,4,8,0,0
功,2,0,1,42,0,51,0,3,0,0,41,46,6,0
遠,88,3,1,0,0,3,0,89,3,0,0,3,0,0
稲,90,3,1,1,0,0,0,90,4,0,0,1,0,0
増,92,0,1,2,0,0,0,93,0,0,0,2,0,0
好,1,0,26,49,0,18,0,27,0,0,2,65,0,0
悟,0,1,0,10,0,82,0,0,1,0,41,50,1,0
祥,0,0,0,74,0,19,0,0,0,0,5,83,5,0
畑,24,0,69,0,0,0,8,84,1,0,0,0,0,0
宇,86,2,1,4,0,0,0,51,38,0,0,3,1,0
佑,0,0,0,53,0,40,0,0,0,0,2,85,6,0
進,11,0,0,33,0,48,0,11,0,0,46,25,10,0
齋,91,0,1,0,0,0,0,92,0,0,0,0,0,0
嗣,0,0,0,3,0,89,0,0,0,0,0,91,1,0
弥,3,0,0,12,8,69,0,3,0,0,3,76,10,0
基,0,0,0,48,0,44,0,0,0,0,7,83,2,0
晋,0,0,0,60,0,31,0,0,0,0,29,52,10,0
若,82,0,2,5,0,1,0,84,0,0,0,6,0,0
脇,32,0,58,0,0,0,4,85,1,0,0,0,0,0
垣,6,5,79,0,0,0,0,81,9,0,0,0,0,0
耕,0,0,0,86,0,4,0,0,0,0,4,74,12,0
羽,44,1,40,2,0,1,0,79,6,0,0,2,1,0
花,48,1,17,4,0,18,0,65,1,0,1,16,5,0
眞,19,1,0,48,0,19,0,19,1,0,16,43,8,0
場,0,1,86,0,0,0,0,84,3,0,0,0,0,0
熊,66,0,19,0,0,1,0,85,0,0,0,1,0,0
作,8,0,4,3,0,71,0,12,0,0,0,73,1,0
波,20,5,57,1,0,3,0,62,20,0,0,3,1,0
月,12,0,56,1,0,16,0,65,3,0,0,17,0,0
守,16,1,13,30,0,25,0,28,2,0,23,32,0,0
星,72,0,7,2,0,3,18,60,1,0,0,5,0,0
塩,82,0,1,0,0,0,0,82,1,0,0,0,0,0
早,61,1,2,19,0,0,0,59,5,0,0,14,5,0
穂,11,0,0,5,10,57,0,10,1,0,0,61,11,0
玉,43,0,33,5,0,0,0,76,0,0,0,5,0,0
稔,0,0,0,17,0,64,0,0,0,0,57,24,0,0
篠,77,0,3,0,0,0,2,78,0,0,0,0,0,0
竜,3,0,0,76,0,1,1,2,0,0,1,66,10,0
酒,78,0,1,0,0,0,0,78,1,0,0,0,0,0
牧,65,0,11,2,0,1,10,65,1,0,1,2,0,0
深,75,0,1,0,0,2,0,76,0,0,1,1,0,0
十,5,63,0,5,4,1,0,5,63,0,0,5,5,0
斉,67,0,0,3,0,7,0,67,0,0,6,4,0,0
笠,56,15,6,0,0,0,2,60,15,0,0,0,0,0
邉,0,0,76,0,0,0,0,75,1,0,0,0,0,0
亜,1,0,0,72,1,2,0,1,0,0,0,33,42,0
角,55,0,19,1,0,1,4,70,0,0,1,1,0,0
冨,63,0,10,3,0,0,0,70,3,0,0,0,3,0
相,69,0,2,4,0,0,0,71,0,0,0,4,0,0
